"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1",0,0,7226,1089,0,74500,2,0,0,1,3,18,930,2675,2503,2586,10.697,30.768,28.79,29.745,86190,0.3,79180,30
"2",0,0,3776,596,0,31700,2,0,1,2,49,0,1495617,1387980,1763571,2064911,22.282,20.679,26.275,30.764,86190,0.3,79180,14
"3",4,32,1767,331,0,36100,2,0,1,2,51,11,3474,7050,8061,7727,13.203,26.794,30.636,29.367,86190,0.3,79180,11
"4",0,0,3035,452,0,28600,2,0,0,2,5,116,9797,28238,35148,23153,10.17,29.312,36.485,24.034,86190,0.3,79180,189
"5",0,0,7226,1089,0,74500,2,0,0,1,3,18,12358,41481,62916,69464,6.636,22.275,33.786,37.302,86190,0.3,79180,30
"6",3.6,63,2916,442,0,16800,2,0,1,1,26,0,358,1428,2718,8216,2.814,11.226,21.368,64.591,86190,0.3,79180,5
"7",0,0,1668,325,5,53800,2,0,1,1,3,1,1495617,1387980,1763571,2064911,22.282,20.679,26.275,30.764,86190,0.3,79180,19
"8",0,0,1542,225,2,58300,2,0,0,3,74,13,9797,28238,35148,23153,10.17,29.312,36.485,24.034,86190,0.3,79180,13
"9",0,0,3035,452,0,28600,2,0,0,2,5,116,857,4533,4982,3022,6.398,33.844,37.196,22.562,86190,0.3,79180,189
"10",4.1,40,680,118,3,35900,2,0,1,1,92,0,14881,52410,55665,81047,7.295,25.691,27.286,39.728,86190,0.3,79180,12
"11",0,0,2614,469,0,45899,2,0,1,3,2,23,3152,13138,10763,14681,7.553,31.48,25.79,35.178,86190,0.3,79180,54
"12",0,0,7226,1089,0,74500,2,0,0,1,3,18,9256,19570,16198,13673,15.769,33.341,27.596,23.294,86190,0.3,79180,30
"13",3.5,26,1778,324,5,46500,2,0,0,1,9,27,151875,131710,181276,114275,26.224,22.742,31.301,19.732,86190,0.3,79180,27
"14",4,32,1767,331,0,36100,2,0,1,2,51,11,2770,8431,5774,3646,13.433,40.886,28.001,17.681,86190,0.3,79180,11
"15",0,0,2279,400,1,37200,2,0,0,3,10,0,1771,4582,3321,4254,12.715,32.898,23.844,30.543,86190,0.3,79180,2
"16",3.7,94,2437,411,2,35000,2,0,1,2,79,2,894,2640,1180,685,16.559,48.898,21.856,12.688,86190,0.3,79180,4
"17",0,0,1114,211,0,90200,2,0,0,3,84,0,101664,212399,247743,263443,12.319,25.738,30.02,31.923,86190,0.3,79180,25
"18",4.1,40,680,118,3,35900,2,0,1,1,92,0,863,3434,6390,9811,4.21,16.753,31.174,47.863,86190,0.3,79180,12
"19",4.5,58,2112,337,2,38000,2,0,0,2,17,0,1054,1998,1590,1270,17.828,33.796,26.894,21.482,86190,0.3,79180,12
"20",0,0,1934,262,2,40900,2,0,1,1,36,11,349434,358305,410360,471989,21.976,22.534,25.807,29.683,86190,0.3,79180,23
"21",0,0,1542,225,2,58300,2,0,0,3,74,13,1322,2586,1204,615,23.084,45.155,21.023,10.739,86190,0.3,79180,13
"22",4,32,1767,331,0,36100,2,0,1,2,51,11,11205,36794,38961,22542,10.233,33.601,35.58,20.586,86190,0.3,79180,11
"23",4,32,1767,331,0,36100,2,0,1,2,51,11,557,2362,2716,1512,7.793,33.049,38.002,21.156,86190,0.3,79180,11
"24",0,0,1985,359,0,50500,2,0,0,1,98,0,21741,38102,43017,47212,14.487,25.389,28.664,31.46,86190,0.3,79180,16
"25",0,0,7226,1089,0,74500,2,0,0,1,17,0,930,2675,2503,2586,10.697,30.768,28.79,29.745,86190,0.3,79180,7
"26",3.2,32,1634,348,2,50500,2,0,1,1,6,0,84024,83389,135018,366564,12.56,12.465,20.182,54.793,86190,0.3,79180,18
"27",3.2,50,4057,610,0,34300,2,0,1,2,35,0,2669,3635,2808,1085,26.174,35.648,27.538,10.64,86190,0.3,79180,10
"28",0,0,833,182,0,39500,2,0,0,1,34,4,62170,179585,147203,202957,10.503,30.34,24.869,34.288,86190,0.3,79180,26
"29",0,0,1692,263,1,37800,2,0,1,2,12,0,401,1979,2254,1567,6.467,31.914,36.349,25.27,86190,0.3,79180,3
"30",0,0,3035,452,0,28600,2,0,0,2,5,116,1322,2586,1204,615,23.084,45.155,21.023,10.739,86190,0.3,79180,189
"31",4.5,58,2112,337,2,38000,2,0,0,2,17,0,827,3354,4122,2344,7.767,31.502,38.715,22.016,86190,0.3,79180,12
"32",0,0,3035,452,0,28600,2,0,0,2,5,116,2928,6146,5146,2413,17.604,36.951,30.938,14.507,86190,0.3,79180,189
"33",0,0,1114,211,0,90200,2,0,0,3,84,0,2609,8307,7268,6368,10.626,33.834,29.602,25.937,86190,0.3,79180,25
"34",4,32,1767,331,0,36100,2,0,1,2,51,11,1697,6083,4614,1996,11.793,42.272,32.064,13.871,86190,0.3,79180,11
"35",0,0,7226,1089,0,74500,2,0,0,1,17,0,9256,19570,16198,13673,15.769,33.341,27.596,23.294,86190,0.3,79180,7
"36",0,0,346,128,3,31500,2,0,0,1,0,4,14881,52410,55665,81047,7.295,25.691,27.286,39.728,86190,0.3,79180,23
"37",4,32,1767,331,0,36100,2,0,1,2,51,11,2938,5284,3253,1086,23.39,42.067,25.898,8.646,86190,0.3,79180,11
"38",4,32,1767,331,0,36100,2,0,1,2,51,11,1974,4183,1597,675,23.419,49.626,18.946,8.008,86190,0.3,79180,11
"39",4.3,84,4994,729,3,33300,2,0,0,2,53,0,7589,12868,14153,4710,19.301,32.726,35.994,11.979,86190,0.3,79180,21
"40",0,0,1114,211,0,90200,2,0,0,3,84,0,6034,21916,19393,8469,10.811,39.268,34.747,15.174,86190,0.3,79180,25
"41",0,0,6587,992,0,40400,2,0,0,1,10,2,1974,4183,1597,675,23.419,49.626,18.946,8.008,86190,0.3,79180,16
"42",4,32,1767,331,0,36100,2,0,1,2,51,11,3828,13573,7382,4780,12.949,45.912,24.97,16.169,86190,0.3,79180,11
"43",4,32,1767,331,0,36100,2,0,1,2,51,11,121,369,312,189,12.21,37.235,31.483,19.072,86190,0.3,79180,11
"44",0,0,3035,452,0,28600,2,0,0,2,5,116,10684,22738,22476,14875,15.096,32.128,31.758,21.018,86190,0.3,79180,189
"45",0,0,2252,322,5,79200,2,0,0,1,43,0,857,4533,4982,3022,6.398,33.844,37.196,22.562,86190,0.3,79180,12
"46",0,0,4943,774,0,38400,2,1,1,2,10,2,894,2640,1180,685,16.559,48.898,21.856,12.688,86190,0.3,79180,17
"47",4,32,1767,331,0,36100,2,0,1,2,51,11,16569,40464,53440,38938,11.09,27.082,35.767,26.061,86190,0.3,79180,11
"48",4,32,1767,331,0,36100,2,0,1,2,51,11,2717,8685,11085,12597,7.744,24.755,31.596,35.905,86190,0.3,79180,11
"49",0,0,6587,992,0,40400,2,0,0,1,10,2,2717,8685,11085,12597,7.744,24.755,31.596,35.905,86190,0.3,79180,16
"50",0,0,7226,1089,0,74500,2,0,0,1,17,0,12358,41481,62916,69464,6.636,22.275,33.786,37.302,86190,0.3,79180,7
"51",3.7,94,2437,411,2,35000,2,0,1,2,79,2,349434,358305,410360,471989,21.976,22.534,25.807,29.683,86190,0.3,79180,4
"52",4,32,1767,331,0,36100,2,0,1,2,51,11,7661,12576,10354,4852,21.615,35.482,29.213,13.69,86190,0.3,79180,11
"53",4.5,58,2112,337,2,38000,2,0,0,2,17,0,491,1098,1213,773,13.734,30.713,33.93,21.622,86190,0.3,79180,12
"54",0,0,2189,313,1,40900,2,0,1,1,24,0,2109,4778,2981,1495,18.56,42.049,26.234,13.157,86190,0.3,79180,1
"55",0,0,1114,211,0,90200,2,0,0,3,84,0,2225,6016,3523,1590,16.662,45.05,26.382,11.907,86190,0.3,79180,25
"56",0,0,3724,578,0,43400,2,0,1,3,7,15,81522,173824,182073,185226,13.093,27.917,29.242,29.748,86190,0.3,79180,43
"57",0,0,1114,211,0,90200,2,0,0,3,84,0,325372,365923,601605,807572,15.49,17.421,28.641,38.447,86190,0.3,79180,25
"58",0,0,1114,211,0,90200,2,0,0,3,84,0,1728,7377,5475,6306,8.273,35.32,26.214,30.192,86190,0.3,79180,25
"59",4,32,1767,331,0,36100,2,0,1,2,51,11,1217,5954,4338,2269,8.833,43.214,31.485,16.468,86190,0.3,79180,11
"60",0,0,6587,992,0,40400,2,0,0,1,10,2,3502,9500,5478,3753,15.751,42.729,24.639,16.88,86190,0.3,79180,16
"61",4.5,58,2112,337,2,38000,2,0,0,2,17,0,592,2108,2186,912,10.21,36.357,37.703,15.73,86190,0.3,79180,12
"62",0,0,2189,313,3,40900,2,0,1,1,73,11,894,2640,1180,685,16.559,48.898,21.856,12.688,86190,0.3,79180,12
"63",0,0,148,49,0,45000,2,0,0,1,3,0,10893,22999,21512,10792,16.456,34.744,32.497,16.303,86190,0.3,79180,4
"64",4.1,57,1506,224,3,48500,2,0,1,2,74,0,7255,7530,7523,6474,25.207,26.162,26.138,22.493,86190,0.3,79180,34
"65",0,0,2279,400,1,37200,2,0,0,3,10,0,14727,37729,33943,25985,13.104,33.572,30.203,23.122,86190,0.3,79180,2
